Route,MonthStart,Flights,AvgTOW_kg,MedianTOW_kg,PrimaryAircraft,TowRegime
AAX -> CNF,2024-06-01,6,21235.0,19922.5,ATR,ATR
AAX -> CNF,2024-07-01,12,18933.083333333332,18886.0,ATR,Outside Normal Regimes
AAX -> CNF,2024-08-01,10,19652.5,19972.5,ATR,ATR
AAX -> CNF,2024-09-01,8,19021.25,19050.5,ATR,ATR
AAX -> CNF,2024-10-01,10,19352.6,19419.5,ATR,ATR
AAX -> CNF,2024-11-01,6,19378.0,19149.5,ATR,ATR
AAX -> CNF,2024-12-01,12,19697.916666666668,19877.0,ATR,ATR
AAX -> CNF,2025-01-01,9,20524.11111111111,20866.0,ATR,ATR
AAX -> CNF,2025-02-01,11,19215.454545454544,19285.0,ATR,ATR
AAX -> CNF,2025-03-01,4,19641.0,19654.5,ATR,ATR
AAX -> CNF,2025-04-01,6,18847.5,18680.5,ATR,Outside Normal Regimes
AAX -> CNF,2025-05-01,6,19360.666666666668,19676.5,ATR,ATR
AAX -> CNF,2025-06-01,5,18931.2,18779.0,ATR,Outside Normal Regimes
AAX -> CNF,2025-07-01,8,18466.125,18452.0,ATR,Outside Normal Regimes
AAX -> CNF,2025-08-01,7,18616.0,18611.0,ATR,Outside Normal Regimes
AAX -> CNF,2025-09-01,7,19390.571428571428,19431.0,ATR,ATR
AAX -> CNF,2025-10-01,7,19617.428571428572,19529.0,ATR,ATR
AAX -> CNF,2025-11-01,3,18647.333333333332,18681.0,ATR,Outside Normal Regimes
AAX -> VCP,2024-04-01,1,34670.0,34670.0,E1,Outside Normal Regimes
AFL -> VCP,2025-03-01,8,51776.625,52348.5,E2,E2
AFL -> VCP,2025-04-01,9,50413.11111111111,51373.0,E2,E2
AFL -> VCP,2025-05-01,10,52542.7,53324.0,E2,E2
AFL -> VCP,2025-06-01,11,51184.545454545456,52810.0,E2,E2
AFL -> VCP,2025-07-01,10,53223.3,53663.5,E2,E2
AFL -> VCP,2025-08-01,13,54132.46153846154,54510.0,E2,E2
AFL -> VCP,2025-09-01,13,52446.46153846154,52462.0,E2,E2
AFL -> VCP,2025-10-01,10,53061.2,53539.0,E2,E2
AFL -> VCP,2025-11-01,4,53004.5,52908.5,E2,E2
AJU -> CNF,2024-01-01,22,57894.77272727273,54379.5,E2,Outside Normal Regimes
AJU -> CNF,2024-02-01,12,57766.166666666664,59167.0,A320,Outside Normal Regimes
AJU -> CNF,2024-03-01,17,60593.470588235294,60185.0,A320,Outside Normal Regimes
AJU -> CNF,2024-04-01,14,57929.42857142857,54023.0,E2,Outside Normal Regimes
AJU -> CNF,2024-05-01,16,52464.3125,53372.5,E2,E2
AJU -> CNF,2024-06-01,16,53581.875,53869.0,E2,E2
AJU -> CNF,2024-07-01,20,51655.1,52513.5,E2,E2
AJU -> CNF,2024-08-01,16,53303.75,52206.0,E2,E2
AJU -> CNF,2024-09-01,17,57935.470588235294,55043.0,E2,Outside Normal Regimes
AJU -> CNF,2024-10-01,30,57868.36666666667,54780.0,A320,Outside Normal Regimes
AJU -> CNF,2024-11-01,37,56485.05405405405,54172.0,A320,Outside Normal Regimes
AJU -> CNF,2024-12-01,32,55982.3125,55619.0,A320,Outside Normal Regimes
AJU -> CNF,2025-01-01,41,60622.85365853659,64241.0,A320,Outside Normal Regimes
AJU -> CNF,2025-02-01,16,61563.9375,63684.0,A320,A320
AJU -> CNF,2025-03-01,25,60912.36,64994.0,A320,Outside Normal Regimes
AJU -> CNF,2025-04-01,25,63093.0,65534.0,A320,A320
AJU -> CNF,2025-05-01,27,61858.74074074074,62929.0,A320,A320
AJU -> CNF,2025-06-01,24,61259.541666666664,64165.0,A320,A320
AJU -> CNF,2025-07-01,31,55607.45161290323,53385.0,E2,Outside Normal Regimes
AJU -> CNF,2025-08-01,24,64138.375,64514.0,A320,A320
AJU -> CNF,2025-09-01,25,63098.4,64520.0,A320,A320
AJU -> CNF,2025-10-01,25,64391.68,65030.0,A320,A320
AJU -> CNF,2025-11-01,7,65139.857142857145,65044.0,A320,A320
AJU -> REC,2024-01-01,123,20285.71544715447,20273.0,ATR,ATR
AJU -> REC,2024-02-01,99,20254.949494949495,20350.0,ATR,ATR
AJU -> REC,2024-03-01,76,20425.46052631579,20812.5,ATR,ATR
AJU -> REC,2024-04-01,111,20629.891891891893,20965.0,ATR,ATR
AJU -> REC,2024-05-01,98,20326.69387755102,20899.5,ATR,ATR
AJU -> REC,2024-06-01,79,20945.12658227848,21361.0,ATR,ATR
AJU -> REC,2024-07-01,94,20104.23404255319,20758.5,ATR,ATR
AJU -> REC,2024-08-01,80,20602.4875,21301.0,ATR,ATR
AJU -> REC,2024-09-01,74,20869.891891891893,21224.5,ATR,ATR
