Route,Recommendation,Months,TotalFlights,AvgFlightsPctVsMedian,AvgTOWPctVsMedian,AvgPriorityScore
MVD -> VCP,Strong review for larger aircraft,3,25,7.333333333333333,0.02768434885901547,374.9372842547721
CNF -> CPV,Current peak upgauge appears justified,4,77,2.85,0.14881121331618655,159.98822754868047
VCP -> MVD,Strong review for larger aircraft,1,12,3.0,-0.020954953385031016,159.0
REC -> CWB,Strong review for larger aircraft,1,10,2.3333333333333335,-0.003035794384139178,123.66666666666667
JDO -> REC,Strong review for larger aircraft,1,52,1.736842105263158,-0.00011045056762762145,119.8421052631579
REC -> CWB,Current peak upgauge appears justified,2,19,2.1666666666666665,0.11934968234421,118.43021827969875
REC -> FLN,Strong review for larger aircraft,1,12,2.0,0.008902555133998472,108.0
VCP -> SDU,Strong review for larger aircraft,1,194,0.6166666666666667,0.0021878902162969947,105.43468353743022
REC -> REC,Strong review for larger aircraft,2,12,2.0,-0.1681282308890078,104.0
JPA -> REC,Strong review for larger aircraft,1,101,1.02,-0.03652814170236782,102.0
REC -> JDO,Strong review for larger aircraft,1,55,1.391304347826087,0.014081210047717624,101.66341156439836
CNF -> CGH,Strong review for larger aircraft,3,555,0.5811965811965812,-0.014710615909038735,97.73867234488644
CWB -> REC,High-priority upgauge review,1,11,1.75,0.035954268564701714,97.09456082210176
IGU -> CNF,Current peak upgauge appears justified,1,11,1.75,0.06729040501169688,96.35606684339574
REC -> FEN,Strong review for larger aircraft,1,198,0.5348837209302325,0.001240301115689811,95.89102068882141
FEN -> REC,Strong review for larger aircraft,1,198,0.5348837209302325,-0.006064033936426583,95.88528674163632
PDP -> VCP,Strong review for larger aircraft,1,11,1.75,0.0,94.5
CGH -> CNF,Review larger aircraft,2,445,0.4448051948051948,-0.037986979209273956,90.88325883629626
PLU -> VCP,High-priority upgauge review,1,8,1.6666666666666667,0.0,90.7150780098797
REC -> IGU,Current peak upgauge appears justified,1,8,1.6666666666666667,0.051881411738403695,89.50610184817235
CAU -> REC,Strong review for larger aircraft,1,8,1.6666666666666667,-0.009249397106109397,88.33333333333334
REC -> CAU,Strong review for larger aircraft,1,8,1.6666666666666667,-0.020379278988589364,88.33333333333334
VCP -> BRC,Strong review for larger aircraft,2,40,1.5,0.006199451850702195,87.63352053731481
CNF -> CGH,Current peak upgauge appears justified,2,355,0.517094017094017,0.08353681404729454,86.35470085470085
NAT -> REC,Strong review for larger aircraft,5,682,0.6433734939759036,-0.0126344013407776,85.60943718722595
VCP -> UDI,Strong review for larger aircraft,6,583,0.7046783625730995,-0.3752995821756,85.40058479532165
REC -> NAT,Strong review for larger aircraft,6,816,0.6385542168674698,-0.012942047798497265,85.05806477655618
AJU -> REC,Strong review for larger aircraft,2,234,0.7205882352941176,-0.04084028936504676,85.02941176470588
REC -> AJU,Strong review for larger aircraft,2,234,0.7205882352941176,-0.028971171024510245,85.02941176470588
PHB -> CNF,Strong review for larger aircraft,1,14,1.3333333333333333,-0.11487166134796753,84.66666666666666
LDB -> VCP,Strong review for larger aircraft,4,374,0.8333333333333334,-0.08602647743408207,84.16666666666667
VCP -> PPB,Strong review for larger aircraft,6,463,0.7945736434108527,-0.43033347652731174,83.8953488372093
VCP -> LDB,Strong review for larger aircraft,4,372,0.8235294117647058,-0.08293345777310074,83.38773237814559
REC -> FLN,Current peak upgauge appears justified,1,10,1.5,0.06991856822751415,83.31135543468851
CNF -> JJD,Strong review for larger aircraft,4,50,1.5,-0.0069628517626097956,82.92734732234895
REC -> MCZ,Strong review for larger aircraft,5,670,0.6144578313253012,-0.026346240590065195,81.72289156626506
PPB -> VCP,Strong review for larger aircraft,4,321,0.7445652173913043,-0.430212719635656,81.47826086956522
LDB -> VCP,Current peak upgauge appears justified,1,73,0.43137254901960786,0.6952460354173513,81.22967826218807
MCZ -> REC,Strong review for larger aircraft,5,660,0.6097560975609756,-0.016034757286845818,80.72080056189147
VCP -> VCP,Current peak upgauge appears justified,5,48,1.4,0.20597828221142267,80.30886063754963
CWB -> VCP,Review larger aircraft,1,223,0.3765432098765432,-0.01193800457302906,79.82716049382717
CNF -> VIX,Strong review for larger aircraft,1,121,0.6351351351351351,-0.008263487717035983,79.69113369464002
VCP -> BPS,Strong review for larger aircraft,3,211,0.9009009009009009,0.009676589209290432,79.23123905594106
VCP -> PET,Strong review for larger aircraft,3,50,1.3809523809523812,-0.0026973113826759235,79.03723515813705
UDI -> VCP,Strong review for larger aircraft,5,525,0.5909090909090909,-0.36214328379956556,78.54545454545455
CNF -> IGU,Current peak upgauge appears justified,1,5,1.5,0.08739489572915514,78.0
MAO -> VCP,Strong review for larger aircraft,2,248,0.6103896103896104,-0.14773017217491013,77.51948051948051
CNF -> GIG,Strong review for larger aircraft,3,347,0.6291079812206573,-0.025591026869801397,77.1492130516649
REC -> JPA,Strong review for larger aircraft,2,171,0.78125,-0.02284240154324191,77.09356189855203
BPS -> VCP,Strong review for larger aircraft,3,221,0.8416666666666668,0.004833360614499702,76.64840511322784
FLN -> VCP,Current peak upgauge appears justified,2,310,0.47619047619047616,0.13986902795162476,76.19336298514878
VCP -> LDB,Current peak upgauge appears justified,1,71,0.39215686274509803,0.7036107230802952,75.5787746382506
FLN -> REC,Strong review for larger aircraft,2,19,1.375,0.02396255527597946,74.83871011727268
NSR -> REC,Strong review for larger aircraft,4,47,1.35,-0.02962350018980396,74.29858569475772
GRU -> CNF,Strong review for larger aircraft,1,81,0.7608695652173914,0.04346494268239739,74.02586124603896
GIG -> REC,Strong review for larger aircraft,1,147,0.5,-0.023684577889901342,74.0
VCP -> GIG,High-priority upgauge review,2,209,0.4928571428571429,-0.06930124538774499,73.480942337085
VCP -> NVT,High-priority upgauge review,4,370,0.5163934426229508,-0.06738888424268231,73.29796598883479
CFB -> CNF,Current peak upgauge appears justified,2,65,0.625,0.5767546440661309,73.2348335279371
IOS -> VCP,Strong review for larger aircraft,1,46,0.84,-0.09238053070111253,73.0
CGH -> CNF,Current peak upgauge appears justified,2,418,0.35714285714285715,0.04791814051387345,72.85714285714286
CWB -> REC,Strong review for larger aircraft,2,18,1.25,-0.05046980921894476,72.5
CNF -> CFB,Current peak upgauge appears justified,2,63,0.6578947368421053,0.5853819616136389,71.88853141099487
VCP -> JTC,Strong review for larger aircraft,4,275,0.8092105263157895,-0.03700378643529335,71.46480601099904
BVB -> VCP,Strong review for larger aircraft,1,7,1.3333333333333333,-0.002199592505968995,71.26149747090916
VCP -> FLN,Current peak upgauge appears justified,3,331,0.5761904761904761,0.08954506720122468,70.99788933897436
REC -> IGU,Strong review for larger aircraft,1,7,1.3333333333333333,-0.02994957351255648,70.66666666666666
VCP -> POA,Review larger aircraft,1,195,0.3541666666666667,0.0,69.34566975301608
GIG -> CNF,Strong review for larger aircraft,3,353,0.5482456140350878,-0.006665150989885144,69.30981930045931
JTC -> VCP,Strong review for larger aircraft,4,277,0.7756410256410257,-0.04573191520465636,69.20454378254057
VCP -> SDU,Review larger aircraft,6,1012,0.4055555555555555,-0.01092216893260812,69.04807776012427
MCZ -> VCP,Strong review for larger aircraft,5,374,0.7395348837209303,-0.02431347886295322,68.99986779263841
REC -> POA,Strong review for larger aircraft,7,312,0.937888198757764,-0.018362197096783505,68.46583850931677
IGU -> CNF,Strong review for larger aircraft,1,9,1.25,0.0,67.5
CNF -> GRU,Current peak upgauge appears justified,3,279,0.603448275862069,0.09302244587721194,67.0987042684725
CNF -> GYN,Strong review for larger aircraft,2,146,0.6590909090909092,-0.05119375570374302,67.01627032107396
POA -> VCP,Review larger aircraft,1,204,0.3246753246753247,-0.0099704790054441,66.73615447497919
POA -> REC,Strong review for larger aircraft,7,319,0.8988095238095238,-0.01813944406415694,66.51190476190477
BPS -> CNF,Strong review for larger aircraft,1,123,0.5,-0.1074809552968542,66.0
VCP -> MCZ,Strong review for larger aircraft,4,288,0.7142857142857143,-0.002641851481527957,65.80940820067497
VCP -> CWB,High-priority upgauge review,1,160,0.3793103448275862,-0.013783193387660625,65.15038683080078
MCZ -> REC,Review larger aircraft,1,122,0.4878048780487805,-0.002905311116348919,65.04679445537928
CNF -> BPS,Current peak upgauge appears justified,1,95,0.5833333333333334,0.02643075927291166,64.22015373996106
CNF -> SDU,Strong review for larger aircraft,2,219,0.5208333333333333,-0.002596827208706066,63.90964276335641
CNF -> PLU,Strong review for smaller aircraft,2,2,-0.5,1.020618256051327,63.535716647068114
VCP -> JPA,Strong review for larger aircraft,2,86,0.8695652173913044,-0.06477995156563014,63.47826086956522
VCP -> GYN,Review larger aircraft,1,134,0.44086021505376344,0.009952012918440415,63.043010752688176
RVD -> VCP,Strong review for larger aircraft,1,46,0.84,-0.019389476447990977,63.0
NAT -> REC,Review larger aircraft,1,122,0.46987951807228917,-0.020665266835110135,62.493975903614455
CNF -> BPS,Strong review for larger aircraft,1,94,0.5666666666666667,-0.10588935703614606,62.33333333333333
REC -> CPV,Strong review for larger aircraft,1,69,0.6829268292682927,-0.0415891257025607,62.146341463414636
PET -> VCP,Strong review for larger aircraft,5,68,1.0923076923076924,-0.005136347385331457,62.07082941999391
GRU -> CNF,Current peak upgauge appears justified,3,224,0.6231884057971014,0.08782917556732404,62.04359548152588
VCP -> CNF,Review larger aircraft,1,188,0.3146853146853147,0.0015403755123799174,61.99759216660505
SDU -> CNF,Efficient peak upgauge candidate,4,482,0.4695121951219512,0.1306646351726936,61.97560975609756
MVD -> VCP,Current peak upgauge appears justified,1,2,1.0,0.2940303388818793,61.96060009077365
BPS -> CNF,Review larger aircraft,1,120,0.4634146341463415,-0.04441953155731703,61.170731707317074
VCP -> CGH,Strong review for larger aircraft,2,17,1.125,-0.0250501003904653,60.75
VCP -> MII,Strong review for larger aircraft,5,225,0.8,0.003088381264996295,60.4715241276039
CNF -> CNF,High-priority upgauge review,3,11,0.8333333333333334,0.020101909401422254,60.37801911363328
JPA -> VCP,Strong review for larger aircraft,3,121,0.8333333333333334,-0.04150729655973206,60.23471133462686
CNF -> PLU,Current peak upgauge appears justified,3,10,0.6666666666666666,0.38193836881500925,60.21203983227264
VCP -> RVD,Strong review for larger aircraft,1,45,0.8,-0.023624439747661874,60.0
CNF -> IGU,High-priority upgauge review,5,19,0.9,-0.11020254455080544,59.91278306280047
REC -> JDO,Current peak upgauge appears justified,1,39,0.6956521739130435,0.20081006895628303,59.838293335887435
MII -> VCP,Strong review for larger aircraft,4,179,0.79,-0.0038234412197992364,59.49840176235586
CNF -> CGH,High-priority upgauge review,1,157,0.3418803418803419,-0.002599181795578875,59.29197491269742
RIA -> VCP,Strong review for larger aircraft,3,62,0.9682539682539684,0.008117658145251273,59.143303506872876
REC -> SSA,Current peak upgauge appears justified,1,133,0.4,0.1168068917459218,58.653895242638214
VCP -> PLU,Strong review for larger aircraft,4,17,1.125,-0.23549264780064566,58.5
IGU -> VCP,Strong review for larger aircraft,1,75,0.5957446808510638,0.0,58.299566223705085
CNF -> BSB,Strong review for larger aircraft,1,67,0.6341463414634146,-0.006140672994844245,57.70731707317073
REC -> GYN,Strong review for larger aircraft,1,86,0.5357142857142857,0.009522300279561207,57.38531390154127
VCP -> RIA,Strong review for larger aircraft,3,61,0.9365079365079366,0.011301741439711103,57.210942951869804
CNF -> JPA,Strong review for larger aircraft,3,104,0.8245614035087719,0.021408584771915137,57.062911735046214
CNF -> VCP,Review larger aircraft,2,349,0.30223880597014924,0.03040556875886874,56.90929593092399
VCP -> GRU,High-priority upgauge review,2,16,1.0,0.040253216816899556,56.8371128328689
SDU -> VCP,Efficient peak upgauge candidate,1,201,0.2721518987341772,0.17296186637008965,56.607594936708864
REC -> SSA,Review larger aircraft,2,251,0.32105263157894737,-0.03562916502339798,56.55263157894737
JPA -> CNF,Strong review for larger aircraft,2,78,0.7727272727272727,0.025801162679122885,56.483184857396836
