Route,ActiveMonths,TotalFlights,AvgFlightsPerMonth,StdFlightsPerMonth,CoeffVarFlights,PeakMonth,PeakFlights,TroughMonth,TroughFlights,PeakMinusTrough,PeakToTroughRatio,SeasonalityIndex,PeakMonthAvgTOW_kg,TroughMonthAvgTOW_kg,PeakMonthTowRegime,TroughMonthTowRegime,PeakMonthRegimeRank,TroughMonthRegimeRank,MaxRegimeRankShift,MinRegimeRankShift,MaxAvgTOW_kg,MinAvgTOW_kg,DeltaAvgTOW_kg,VolatilityScore
VCP -> SDU,23,2665,115.8695652173913,48.18380058631115,0.415845183296494,2024-09-01,194,2025-11-01,27,167,7.185185185185185,0.3651521331266825,43080.73195876289,47807.92592592593,E1,Nearest: E1,1,1,1.0,0.0,50219.583333333336,39259.75862068965,10959.824712643684,42.39115302368507
REC -> FEN,23,2796,121.56521739130434,44.66184646093987,0.36739001022947676,2024-10-01,198,2025-11-01,24,174,8.25,0.31090999564595384,22261.116161616163,53416.0,ATR,E2,0,2,2.0,0.0,54750.71428571428,21716.236842105263,33034.47744360902,38.46096626070796
FEN -> REC,23,2814,122.34782608695652,44.91790453091078,0.3671328373173234,2024-10-01,198,2025-11-01,26,172,7.615384615384615,0.31235128704304566,21503.257575757576,51819.192307692305,ATR,E2,0,2,2.0,0.0,52422.4375,20779.092024539877,31643.345475460123,38.24340674566274
SDU -> VCP,23,3244,141.04347826086956,48.670568073501606,0.34507492777143556,2025-09-01,201,2025-11-01,45,156,4.466666666666667,0.2992816168980861,49322.60199004975,48804.86666666667,E2,Nearest: E2,2,2,1.0,0.0,50403.05913978495,39288.68,11114.379139784949,34.845666824925694
POA -> VCP,19,2762,145.3684210526316,43.76758055951049,0.30108038762878325,2024-11-01,204,2024-05-01,17,187,12.0,0.2052669690155875,63429.93137254902,62204.529411764706,A320,A320,3,3,0.0,0.0,66512.41428571429,60088.27450980392,6424.139775910364,32.62508866014195
REC -> NAT,23,2045,88.91304347826087,32.376740233206675,0.36413937670599195,2024-07-01,156,2025-11-01,24,132,6.5,0.29212288721165086,22041.98076923077,21354.416666666668,ATR,ATR,0,0,0.0,0.0,26124.850746268658,20970.643410852714,5154.207335415944,31.894595677906857
REC -> MCZ,23,1981,86.1304347826087,32.38397932932685,0.37598764491394115,2024-07-01,144,2025-11-01,20,124,7.2,0.3008142571823628,20122.652777777777,21252.95,ATR,ATR,0,0,0.0,0.0,26711.73076923077,20122.652777777777,6589.077991452992,31.785767730489937
VCP -> POA,19,2576,135.57894736842104,40.91881022794913,0.3018079946937242,2024-11-01,195,2024-05-01,16,179,12.1875,0.20022883295194513,62638.18974358974,61072.4375,A320,Nearest: A320,3,3,0.0,-1.0,65230.58208955224,57713.97794117647,7516.604148375773,31.715329742134543
NAT -> REC,23,2022,87.91304347826087,32.052827377801684,0.3645969484121853,2024-07-01,154,2025-11-01,25,129,6.16,0.2944566292521395,21144.603896103898,22305.68,ATR,Nearest: ATR,0,0,0.0,0.0,25390.0,20431.614457831325,4958.385542168675,31.522879483419672
MCZ -> REC,23,1967,85.52173913043478,31.51379210167509,0.3684886722615796,2024-07-01,140,2025-11-01,20,120,7.0,0.29769456908556396,20055.57857142857,20902.7,ATR,ATR,0,0,0.0,0.0,25778.603773584906,19956.62,5821.983773584907,30.616627953085526
REC -> POA,17,430,25.294117647058822,17.62272832546703,0.6967125151928826,2025-10-01,51,2025-02-01,1,50,51.0,0.6276333789329686,58068.450980392154,59531.0,Nearest: E2,Nearest: E2,2,2,2.0,0.0,74244.5,56959.72222222222,17284.77777777778,29.884690242937243
REC -> JDO,21,397,18.904761904761905,13.067242802792032,0.6912143548076389,2024-07-01,55,2025-04-01,3,52,18.333333333333332,0.5695094158570229,22526.8,41172.333333333336,Nearest: ATR,E1,0,1,1.0,0.0,45857.69565217391,20966.833333333332,24890.86231884058,29.838976719881504
VCP -> CWB,23,2432,105.73913043478261,34.548286802430404,0.32673133077956384,2024-09-01,160,2025-11-01,24,136,6.666666666666667,0.29615989702517165,44496.775,48650.666666666664,E1,Nearest: E2,1,2,1.0,0.0,51095.03125,43688.33076923077,7406.700480769228,29.708526029061037
CGH -> CNF,23,3489,151.69565217391303,42.6425331479067,0.281105836171354,2024-06-01,227,2025-11-01,66,161,3.4393939393939394,0.23998404924794692,45014.845814977976,48668.01515151515,E1,Nearest: E2,1,2,1.0,0.0,51994.7868852459,43348.07547169811,8646.71141354779,29.09700187057554
CNF -> VCP,23,2881,125.26086956521739,37.074797945802985,0.29598068474608424,2024-06-01,177,2025-11-01,25,152,7.08,0.23871542187948025,55290.141242937854,50934.72,Nearest: E2,E2,2,2,0.0,0.0,57533.17021276596,50934.72,6598.450212765958,29.069565381466596
POA -> REC,17,450,26.470588235294116,17.690534681038844,0.6683090879503564,2025-05-01,52,2024-05-01,2,50,26.0,0.5942483660130718,55949.96153846154,70749.5,Nearest: E2,A320,2,3,1.0,0.0,70749.5,55169.194444444445,15580.305555555555,28.88070990386883
JDO -> REC,21,390,18.571428571428573,12.556809681911847,0.6761359059490994,2024-07-01,52,2025-04-01,2,50,26.0,0.5443223443223443,21761.596153846152,38004.5,ATR,Nearest: E1,0,1,1.0,0.0,44185.045454545456,19376.4,24808.645454545454,28.53640780140719
MVD -> VCP,10,33,3.3,5.9169248769948055,1.7930075384832744,2025-07-01,21,2024-03-01,1,20,21.0,1.0727272727272728,54234.19047619047,51508.0,E2,E2,2,2,1.0,-1.0,68959.0,42733.0,26226.0,28.276380985144748
VCP -> UDI,23,1410,61.30434782608695,26.177379519113686,0.4270068999571736,2025-09-01,108,2024-01-01,25,83,4.32,0.3744064138143695,26134.37962962963,36431.44,Nearest: ATR,Nearest: E1,0,1,0.0,-1.0,44927.59375,21222.73267326733,23704.86107673267,28.212070819715787
JPA -> REC,23,1101,47.869565217391305,19.351001205029444,0.4042443485156015,2024-01-01,101,2025-11-01,8,93,12.625,0.29759507167397226,20312.19801980198,21309.875,ATR,ATR,0,0,0.0,0.0,24775.38888888889,19334.06,5441.328888888889,27.307771140644057
REC -> JPA,23,1093,47.52173913043478,19.311788616907574,0.40637798553419413,2024-01-01,99,2025-11-01,9,90,11.0,0.30231910577190824,19450.454545454544,20454.11111111111,ATR,ATR,0,0,0.0,0.0,24948.528301886792,19450.454545454544,5498.073756432248,26.977412467268447
GIG -> CNF,23,1741,75.69565217391305,27.462915362846005,0.3628070381076727,2025-06-01,119,2024-03-01,25,94,4.76,0.31011662462852435,46457.57142857143,44574.12,Nearest: E1,E1,1,1,1.0,0.0,49267.26829268293,42376.529411764706,6890.738880918223,26.250694757780025
CNF -> SDU,23,1645,71.52173913043478,25.141114023979323,0.3515170957760027,2024-09-01,110,2025-11-01,12,98,9.166666666666666,0.2768864807717722,44670.38181818182,51031.25,E1,E2,1,2,1.0,0.0,51031.25,43427.08571428571,7604.164285714287,25.7720674528748
REC -> AJU,23,1609,69.95652173913044,23.597122633858426,0.33731126201289235,2024-01-01,124,2025-11-01,17,107,7.294117647058823,0.26281514308103876,21103.379032258064,22104.58823529412,ATR,ATR,0,0,0.0,0.0,30016.46835443038,20760.755102040817,9255.713252389563,25.764030125927896
CNF -> CGH,23,3028,131.65217391304347,36.52111800714065,0.2774061143210816,2024-06-01,193,2025-11-01,59,134,3.2711864406779663,0.2462523691918902,45240.04663212435,47076.898305084746,E1,Nearest: E1,1,1,1.0,0.0,53881.55855855856,43728.514851485146,10153.043707073411,25.741003667378383
VCP -> FLN,23,1681,73.08695652173913,23.245220253856136,0.3180488196541887,2024-06-01,146,2025-11-01,29,117,5.0344827586206895,0.24871324004862527,61201.32191780822,52925.89655172414,A320,E2,3,2,1.0,-1.0,61201.32191780822,47936.34042553192,13264.981492276303,25.55308529191696
CNF -> GIG,23,1709,74.30434782608695,25.420694723528765,0.34211584472859075,2025-09-01,121,2024-03-01,21,100,5.761904761904762,0.28279950136108073,44377.61157024794,45009.76190476191,E1,E1,1,1,1.0,0.0,50809.796116504855,43459.78333333333,7350.012783171522,25.46795415092236
VCP -> CNF,23,3141,136.56521739130434,34.44949180789619,0.252256705374598,2024-06-01,188,2025-11-01,32,156,5.875,0.2038951870769486,53569.824468085106,50086.625,E2,E2,2,2,0.0,0.0,56093.4,49800.8064516129,6292.5935483871,25.371254655413967
AJU -> REC,23,1618,70.34782608695652,23.274559157366532,0.33084972844216953,2024-01-01,123,2025-11-01,20,103,6.15,0.26103079486214864,20285.71544715447,21063.5,ATR,ATR,0,0,0.0,0.0,29518.462686567163,20104.23404255319,9414.228644013972,24.81236761720015
SDU -> CNF,23,1895,82.3913043478261,27.25043139735874,0.3307440222370717,2025-10-01,126,2024-01-01,32,94,3.9375,0.2660548353791442,48858.206349206346,44731.625,Nearest: E2,E1,2,1,1.0,0.0,49740.53658536585,41588.967741935485,8151.5688434303665,24.202439822428737
GRU -> CNF,23,1124,48.869565217391305,20.186746292999292,0.41307398998130224,2024-11-01,84,2025-11-01,16,68,5.25,0.36353086801794826,55719.42857142857,48553.125,Nearest: E2,Nearest: E1,2,1,0.0,-1.0,57911.26582278481,48113.514285714286,9797.751537070522,23.93105872969799
VCP -> QNS,6,341,56.833333333333336,26.238754204844067,0.4616789596160246,2024-08-01,86,2024-05-01,8,78,10.75,0.3841642228739003,67134.52325581395,25198.0,A320,Nearest: ATR,3,0,0.0,-3.0,68387.85507246378,25198.0,43189.855072463775,23.79108000436106
VCP -> JTC,23,944,41.04347826086956,16.786325337502664,0.40898885885864544,2024-05-01,82,2025-11-01,10,72,8.2,0.3233235077376566,19730.256097560974,20198.8,ATR,ATR,0,0,0.0,0.0,22563.083333333332,19495.24193548387,3067.841397849461,23.776253147706562
BPS -> VCP,23,921,40.04347826086956,16.640647617178026,0.415564489896954,2025-07-01,84,2025-11-01,14,70,6.0,0.3138365670584903,60408.119047619046,62874.92857142857,Nearest: A320,A320,3,3,0.0,-1.0,64769.5,52814.75,11954.75,23.73495548408599
