Route,MonthStart,Equipment,Flights,AvgTOW_kg,TotalTOW_kg,FuelBurnKg
AAX -> CNF,2024-06-01,ATR,5,18495.6,92478,2594
AAX -> CNF,2024-06-01,E1,1,34932.0,34932,1158
AAX -> CNF,2024-07-01,ATR,12,18933.083333333332,227197,6515
AAX -> CNF,2024-08-01,ATR,10,19652.5,196525,5587
AAX -> CNF,2024-09-01,ATR,8,19021.25,152170,4536
AAX -> CNF,2024-10-01,ATR,10,19352.6,193526,5709
AAX -> CNF,2024-11-01,ATR,6,19378.0,116268,3535
AAX -> CNF,2024-12-01,ATR,12,19697.916666666668,236375,7108
AAX -> CNF,2025-01-01,ATR,9,20524.11111111111,184717,5302
AAX -> CNF,2025-02-01,ATR,11,19215.454545454544,211370,6128
AAX -> CNF,2025-03-01,ATR,4,19641.0,78564,2140
AAX -> CNF,2025-04-01,ATR,6,18847.5,113085,3198
AAX -> CNF,2025-05-01,ATR,6,19360.666666666668,116164,3139
AAX -> CNF,2025-06-01,ATR,5,18931.2,94656,2763
AAX -> CNF,2025-07-01,ATR,8,18466.125,147729,4124
AAX -> CNF,2025-08-01,ATR,7,18616.0,130312,3662
AAX -> CNF,2025-09-01,ATR,7,19390.571428571428,135734,3974
AAX -> CNF,2025-10-01,ATR,7,19617.428571428572,137322,3839
AAX -> CNF,2025-11-01,ATR,3,18647.333333333332,55942,1588
AAX -> VCP,2024-04-01,E1,1,34670.0,34670,1501
AFL -> VCP,2025-03-01,E2,8,51776.625,414213,32311
AFL -> VCP,2025-04-01,E2,5,54010.8,270054,20225
AFL -> VCP,2025-04-01,E1,4,45916.0,183664,20208
AFL -> VCP,2025-05-01,E2,9,53200.77777777778,478807,35861
AFL -> VCP,2025-05-01,E1,1,46620.0,46620,5076
AFL -> VCP,2025-06-01,E2,9,52633.77777777778,473704,36564
AFL -> VCP,2025-06-01,E1,2,44663.0,89326,9348
AFL -> VCP,2025-07-01,E2,10,53223.3,532233,40885
AFL -> VCP,2025-08-01,E2,13,54132.46153846154,703722,51084
AFL -> VCP,2025-09-01,E2,12,52848.0,634176,48794
AFL -> VCP,2025-09-01,E1,1,47628.0,47628,5191
AFL -> VCP,2025-10-01,E2,10,53061.2,530612,40242
AFL -> VCP,2025-11-01,E2,4,53004.5,212018,16274
AJU -> CNF,2024-01-01,E2,15,53906.4,808596,48336
AJU -> CNF,2024-01-01,A320,7,66441.28571428571,465089,27075
AJU -> CNF,2024-02-01,A320,7,61125.28571428572,427877,25107
AJU -> CNF,2024-02-01,E2,5,53063.4,265317,15975
AJU -> CNF,2024-03-01,A320,13,62548.230769230766,813127,48021
AJU -> CNF,2024-03-01,E2,4,54240.5,216962,12987
AJU -> CNF,2024-04-01,E2,8,53324.75,426598,25632
AJU -> CNF,2024-04-01,A320,6,64069.0,384414,22504
AJU -> CNF,2024-05-01,E2,12,52356.916666666664,628283,37911
AJU -> CNF,2024-05-01,A320,2,59974.0,119948,7156
AJU -> CNF,2024-05-01,E1,2,45599.0,91198,7960
AJU -> CNF,2024-06-01,E2,14,53767.71428571428,752748,44358
AJU -> CNF,2024-06-01,A320,1,60140.0,60140,3521
AJU -> CNF,2024-06-01,E1,1,44422.0,44422,3791
AJU -> CNF,2024-07-01,E2,18,52483.833333333336,944709,56962
AJU -> CNF,2024-07-01,E1,2,44196.5,88393,7431
AJU -> CNF,2024-08-01,E2,11,51762.90909090909,569392,36684
AJU -> CNF,2024-08-01,A320,3,63350.333333333336,190051,10865
AJU -> CNF,2024-08-01,E1,2,46708.5,93417,8059
AJU -> CNF,2024-09-01,E2,9,52914.77777777778,476233,28474
AJU -> CNF,2024-09-01,A320,8,63583.75,508670,28222
AJU -> CNF,2024-10-01,A320,14,64675.857142857145,905462,52372
AJU -> CNF,2024-10-01,E2,13,53122.61538461538,690594,42135
AJU -> CNF,2024-10-01,E1,3,46665.0,139995,12620
AJU -> CNF,2024-11-01,A320,17,64508.76470588235,1096649,65310
AJU -> CNF,2024-11-01,E2,17,52465.35294117647,891911,54190
AJU -> CNF,2024-11-01,E1,2,41883.5,83767,8696
AJU -> CNF,2024-11-01,ATR,1,17620.0,17620,1773
AJU -> CNF,2024-12-01,A320,19,60071.31578947369,1141355,69383
AJU -> CNF,2024-12-01,E2,12,50283.25,603399,37728
AJU -> CNF,2024-12-01,E1,1,46680.0,46680,3958
AJU -> CNF,2025-01-01,A320,25,65431.84,1635796,96963
AJU -> CNF,2025-01-01,E2,15,53481.6,802224,48768
AJU -> CNF,2025-01-01,E1,1,47517.0,47517,4037
AJU -> CNF,2025-02-01,A320,12,64149.833333333336,769798,44852
AJU -> CNF,2025-02-01,E2,4,53806.25,215225,12900
AJU -> CNF,2025-03-01,A320,17,64991.94117647059,1104863,64545
AJU -> CNF,2025-03-01,E2,7,53077.57142857143,371543,22053
AJU -> CNF,2025-03-01,E1,1,46403.0,46403,4025
AJU -> CNF,2025-04-01,A320,22,64263.13636363636,1413789,82458
AJU -> CNF,2025-04-01,E2,3,54512.0,163536,9800
AJU -> CNF,2025-05-01,A320,22,63837.5,1404425,82923
AJU -> CNF,2025-05-01,E2,5,53152.2,265761,15559
AJU -> CNF,2025-06-01,A320,17,64468.117647058825,1095958,66124
AJU -> CNF,2025-06-01,E2,7,53467.28571428572,374271,22504
AJU -> CNF,2025-07-01,E2,23,52922.086956521736,1217208,74267
AJU -> CNF,2025-07-01,A320,8,63327.875,506623,30353
AJU -> CNF,2025-08-01,A320,23,64578.739130434784,1485311,86318
AJU -> CNF,2025-08-01,E2,1,54010.0,54010,3425
AJU -> CNF,2025-09-01,A320,21,64878.619047619046,1362451,79322
AJU -> CNF,2025-09-01,E2,4,53752.25,215009,13351
AJU -> CNF,2025-10-01,A320,23,65335.739130434784,1502722,87589
AJU -> CNF,2025-10-01,E2,2,53535.0,107070,6466
AJU -> CNF,2025-11-01,A320,7,65139.857142857145,455979,26819
AJU -> REC,2024-01-01,ATR,122,20025.131147540982,2443066,80265
AJU -> REC,2024-01-01,A320,1,52077.0,52077,1438
AJU -> REC,2024-02-01,ATR,99,20254.949494949495,2005240,69599
AJU -> REC,2024-03-01,ATR,76,20425.46052631579,1552335,52300
AJU -> REC,2024-04-01,ATR,111,20629.891891891893,2289918,77933
AJU -> REC,2024-05-01,ATR,98,20326.69387755102,1992016,68533
AJU -> REC,2024-06-01,ATR,79,20945.12658227848,1654665,55511
AJU -> REC,2024-07-01,ATR,94,20104.23404255319,1889798,65194
AJU -> REC,2024-08-01,ATR,80,20602.4875,1648199,56232
AJU -> REC,2024-09-01,ATR,74,20869.891891891893,1544372,51815
AJU -> REC,2024-10-01,ATR,54,20156.09259259259,1088429,37150
AJU -> REC,2024-10-01,E1,12,42353.416666666664,508241,19666
AJU -> REC,2024-10-01,A320,1,59293.0,59293,1529
AJU -> REC,2024-10-01,E2,1,44957.0,44957,1254
AJU -> REC,2024-11-01,ATR,52,20369.19230769231,1059198,35082
AJU -> REC,2024-11-01,E2,22,48687.86363636364,1071133,27450
AJU -> REC,2024-11-01,E1,1,41982.0,41982,1652
AJU -> REC,2024-12-01,ATR,47,20948.382978723403,984574,33543
AJU -> REC,2024-12-01,A320,1,59730.0,59730,1565
AJU -> REC,2025-01-01,ATR,27,20891.777777777777,564078,19140
AJU -> REC,2025-01-01,E1,13,41556.692307692305,540237,20988
AJU -> REC,2025-01-01,E2,2,48745.0,97490,2660
AJU -> REC,2025-02-01,ATR,46,20376.41304347826,937315,31892
AJU -> REC,2025-02-01,E2,21,49543.90476190476,1040422,28055
AJU -> REC,2025-03-01,ATR,57,20854.35087719298,1188698,39573
AJU -> REC,2025-03-01,E2,7,46103.0,322721,8876
AJU -> REC,2025-04-01,ATR,45,21177.088888888888,952969,32484
AJU -> REC,2025-04-01,E2,2,46514.5,93029,2546
AJU -> REC,2025-04-01,A321,1,62364.0,62364,1684
AJU -> REC,2025-05-01,ATR,75,21263.066666666666,1594730,53501
AJU -> REC,2025-05-01,E2,1,47831.0,47831,1525
AJU -> REC,2025-06-01,ATR,49,21381.448979591838,1047691,35720
AJU -> REC,2025-07-01,ATR,59,21328.881355932204,1258404,42200
AJU -> REC,2025-08-01,ATR,58,21247.431034482757,1232351,40957
AJU -> REC,2025-08-01,A320,1,52321.0,52321,1418
AJU -> REC,2025-09-01,ATR,57,21322.280701754386,1215370,40847
AJU -> REC,2025-10-01,ATR,51,21301.313725490196,1086367,36090
AJU -> REC,2025-10-01,E2,1,41745.0,41745,1194
AJU -> REC,2025-11-01,ATR,20,21063.5,421270,13962
AJU -> VCP,2024-01-01,E2,9,55369.11111111111,498322,38294
AJU -> VCP,2024-01-01,A320,8,65003.625,520029,39785
AJU -> VCP,2024-01-01,A321,1,72878.0,72878,5455
AJU -> VCP,2024-01-01,E1,1,47073.0,47073,5290
AJU -> VCP,2024-02-01,A320,14,66058.64285714286,924821,71786
AJU -> VCP,2024-02-01,E2,4,55565.5,222262,17093
AJU -> VCP,2024-03-01,A320,15,65539.8,983097,75355
AJU -> VCP,2024-03-01,E2,2,54681.5,109363,8614
AJU -> VCP,2024-03-01,A321,1,74490.0,74490,5765
AJU -> VCP,2024-04-01,A320,7,64986.857142857145,454908,35335
AJU -> VCP,2024-04-01,E2,2,55460.5,110921,8709
AJU -> VCP,2024-05-01,E2,11,54573.63636363636,600310,46863
AJU -> VCP,2024-05-01,A320,2,65355.5,130711,10151
AJU -> VCP,2024-06-01,E2,12,54825.083333333336,657901,51600
AJU -> VCP,2024-06-01,A320,5,64741.4,323707,25861
AJU -> VCP,2024-06-01,E1,4,47491.75,189967,21495
AJU -> VCP,2024-07-01,E2,25,53778.16,1344454,107401
AJU -> VCP,2024-07-01,A320,1,64889.0,64889,4898
AJU -> VCP,2024-08-01,E2,15,53697.8,805467,63013
AJU -> VCP,2024-08-01,E1,7,47456.57142857143,332196,37296
AJU -> VCP,2024-08-01,A320,1,65572.0,65572,4971
AJU -> VCP,2024-08-01,A321,1,69425.0,69425,5150
AJU -> VCP,2024-09-01,E2,11,54754.36363636364,602298,47987
AJU -> VCP,2024-09-01,E1,7,47944.28571428572,335610,37927
