Route,Year,Month,MonthStart,Flights,PrimaryEquipment,DistinctAircraft,FuelBurnKg,AvgFuelBurnKg,AvgDistanceNM,AvgTripTimeSec,AvgTOW_kg,MaxTOW_kg,TotalTOW_kg,AvgFuelPerNM,AvgFuelPerHour
AAX -> CNF,2024,6,2024-06-01,6,ATR,2,3752,625.3333333333334,186.35,3010.0,21235.0,34932,127410,3.3455377548408465,805.0172193583958
AAX -> CNF,2024,7,2024-07-01,12,ATR,1,6515,542.9166666666666,198.08333333333334,3230.0,18933.083333333332,20442,227197,2.747585695382615,606.2000510907536
AAX -> CNF,2024,8,2024-08-01,10,ATR,1,5587,558.7,197.0,3168.0,19652.5,21523,196525,2.844982880679318,636.2887086792767
AAX -> CNF,2024,9,2024-09-01,8,ATR,1,4536,567.0,205.625,3315.0,19021.25,20092,152170,2.759020581737244,615.7595355293411
AAX -> CNF,2024,10,2024-10-01,10,ATR,1,5709,570.9,205.2,3222.0,19352.6,21174,193526,2.788806427822498,638.6604457441756
AAX -> CNF,2024,11,2024-11-01,6,ATR,1,3535,589.1666666666666,210.83333333333334,3320.0,19378.0,20773,116268,2.817316536347228,645.9609537810899
AAX -> CNF,2024,12,2024-12-01,12,ATR,1,7108,592.3333333333334,213.16666666666666,3360.0,19697.916666666668,22290,236375,2.7805006130234293,637.3225938630161
AAX -> CNF,2025,1,2025-01-01,9,ATR,1,5302,589.1111111111111,206.33333333333334,3306.6666666666665,20524.11111111111,21902,184717,2.860780546563655,641.9099741240277
AAX -> CNF,2025,2,2025-02-01,11,ATR,1,6128,557.0909090909091,191.0909090909091,3130.909090909091,19215.454545454544,20674,211370,2.916958534887529,641.450265179619
AAX -> CNF,2025,3,2025-03-01,4,ATR,1,2140,535.0,199.0,3195.0,19641.0,20504,78564,2.6920659688327833,605.3405207383415
AAX -> CNF,2025,4,2025-04-01,6,ATR,1,3198,533.0,193.66666666666666,3110.0,18847.5,19712,113085,2.759331947247953,618.1121001031992
AAX -> CNF,2025,5,2025-05-01,6,ATR,1,3139,523.1666666666666,186.66666666666666,2890.0,19360.666666666668,21404,116164,2.802064065462785,651.414034309376
