Route,Year,Month,PeakMonth,PeakFlights,PrimaryEquipment,DistinctAircraft,FuelBurnKg,AvgFuelBurnKg,AvgDistanceNM,AvgTripTimeSec,AvgTOW_kg,MaxTOW_kg,TotalTOW_kg,AvgFuelPerNM,AvgFuelPerHour,MedianFlightsPerMonth,FlightsAboveMedian,MedianAvgTOW_kg,AvgTOWIncreaseVsMedian,PeakStrategyGuess
AAX -> CNF,2024,7,2024-07-01,12,ATR,1,6515,542.9166666666666,198.08333333333334,3230.0,18933.083333333332,20442,227197,2.747585695382615,606.2000510907536,7.0,5.0,19356.63333333333,-423.5499999999993,"More flights, little TOW increase"
AAX -> VCP,2024,4,2024-04-01,1,E1,1,1501,1501.0,229.2,2220.0,34670.0,34670,34670,6.548865619546248,2434.054054054054,1.0,0.0,34670.0,0.0,Relatively stable
AFL -> VCP,2025,8,2025-08-01,13,E2,1,51084,3929.5384615384614,953.876923076923,8113.846153846154,54132.46153846154,55983,703722,4.119582506570681,1743.851646695447,10.0,3.0,52542.7,1589.761538461542,"More flights, little TOW increase"
AJU -> CNF,2025,1,2025-01-01,41,A320,3,149768,3652.878048780488,694.2512195121951,6360.0,60622.85365853659,67866,2485537,5.259196747955026,2072.010645756205,24.0,17.0,57935.470588235294,2687.3830703012936,More flights + heavier departures
AJU -> REC,2024,1,2024-01-01,123,ATR,2,81703,664.2520325203252,229.49268292682925,3835.609756097561,20285.71544715447,52077,2495143,2.895866229852167,629.0630537642287,68.0,55.0,21328.881355932204,-1043.1659087777334,"More flights, little TOW increase"
AJU -> VCP,2025,1,2025-01-01,41,E2,3,196308,4788.0,965.939024390244,8746.829268292682,56346.04878048781,68613,2310188,4.958019751154344,1973.5556467010517,22.0,19.0,57338.6,-992.5512195121919,"More flights, little TOW increase"
AQA -> VCP,2024,10,2024-10-01,12,ATR,1,3996,333.0,111.25,1945.0,17430.583333333332,19278,209167,3.0007575120602783,616.0988979610487,12.0,0.0,17430.583333333332,0.0,Relatively stable
ARU -> VCP,2024,6,2024-06-01,52,ATR,1,34060,655.0,233.3846153846154,3663.4615384615386,20291.846153846152,21826,1055176,2.808229091478532,645.3946444189811,29.0,23.0,20918.130434782608,-626.2842809364556,"More flights, little TOW increase"
ASU -> CNF,2024,11,2024-11-01,1,A320,1,4398,4398.0,884.0,7080.0,65905.0,65905,65905,4.975113122171946,2236.271186440678,1.0,0.0,65905.0,0.0,Relatively stable
ASU -> REC,2025,7,2025-07-01,5,E2,1,32076,6415.2,1722.48,13776.0,55667.8,57815,278339,3.723865978743215,1678.3920087616484,2.0,3.0,57249.5,-1581.699999999997,"More flights, little TOW increase"
ASU -> VCP,2025,3,2025-03-01,7,E2,1,18061,2580.1428571428573,623.1857142857143,5417.142857142857,51557.142857142855,53492,360900,4.139122472848567,1715.4996458796722,3.5,3.5,51848.94642857143,-291.80357142857247,"More flights, little TOW increase"
ATM -> CNF,2025,7,2025-07-01,1,A320,1,4653,4653.0,1151.2,10080.0,52614.0,52614,52614,4.04186935371786,1661.7857142857142,1.0,0.0,52614.0,0.0,Relatively stable
BEL -> CNF,2025,5,2025-05-01,76,A320,2,434730,5720.131578947368,1139.9473684210527,9700.263157894737,66134.30263157895,70696,5026207,5.018172834183531,2123.590018170556,58.0,18.0,67455.25581395348,-1320.9531823745347,"More flights, little TOW increase"
BEL -> REC,2024,6,2024-06-01,66,A320,1,303665,4600.984848484848,919.0530303030303,7946.363636363636,63961.681818181816,68469,4221471,5.005626435890912,2084.096180906955,49.0,17.0,63628.186440677964,333.49537750385207,"More flights, little TOW increase"
BEL -> VCP,2024,7,2024-07-01,84,A320,2,618527,7363.416666666667,1334.6690476190477,11154.285714285714,75348.16666666667,86726,6329246,5.519354073237319,2379.7032174203823,75.0,9.0,70153.86666666667,5194.300000000003,More flights + heavier departures
BPS -> CNF,2025,7,2025-07-01,123,A320,4,239609,1948.040650406504,365.8430894308943,4204.390243902439,50391.829268292684,67556,6198195,5.3204608158184366,1788.657293021309,82.0,41.0,56460.22857142857,-6068.399303135884,"More flights, little TOW increase"
BPS -> REC,2024,7,2024-07-01,1,A320,1,3871,3871.0,574.8,5460.0,66908.0,66908,66908,6.734516353514266,2552.3076923076924,1.0,0.0,66196.0,712.0,Relatively stable
BPS -> VCP,2025,7,2025-07-01,84,A320,4,304228,3621.7619047619046,644.6095238095238,6280.0,60408.119047619046,67671,5074282,5.61770638550568,2088.9904261634006,40.0,44.0,61945.5,-1537.380952380954,"More flights, little TOW increase"
BRA -> CNF,2024,6,2024-06-01,44,ATR,1,54982,1249.590909090909,480.1363636363636,7332.272727272727,21392.204545454544,22585,941257,2.60239493646246,614.490938515092,26.0,18.0,21263.85714285714,128.34740259740283,"More flights, little TOW increase"
BRC -> CNF,2025,7,2025-07-01,8,A320,1,70167,8770.875,1956.9375,15240.0,69530.875,72169,556247,4.482286067099753,2072.475713679183,6.0,2.0,69530.875,0.0,"More flights, little TOW increase"
BRC -> VCP,2025,7,2025-07-01,19,A320,1,141960,7471.578947368421,1675.8210526315788,13054.736842105263,69619.15789473684,71071,1322764,4.4577555068340455,2059.877115929516,14.0,5.0,70068.42857142857,-449.2706766917254,"More flights, little TOW increase"
BSB -> CNF,2024,10,2024-10-01,105,E2,4,177551,1690.9619047619049,332.8438095238095,3381.714285714286,49191.79047619048,53541,5165138,5.083784429279914,1813.3398655507501,74.0,31.0,50038.86567164179,-847.0751954513107,"More flights, little TOW increase"
BSB -> REC,2025,6,2025-06-01,73,A320,1,327373,4484.561643835616,928.6191780821918,7790.958904109589,64344.41095890411,67632,4697142,4.828763869530386,2072.610393683531,57.0,16.0,64492.818181818184,-148.40722291407292,"More flights, little TOW increase"
BSB -> VCP,2024,7,2024-07-01,138,E2,3,308923,2238.572463768116,462.618115942029,4451.304347826087,53686.884057971016,65864,7408790,4.8390910177447335,1813.9480048689284,108.0,30.0,52705.27433628318,981.6097216878334,"More flights, little TOW increase"
BVB -> VCP,2024,11,2024-11-01,7,A320,1,63527,9075.285714285714,1755.4857142857143,14922.857142857143,71657.28571428571,73216,501601,5.169750060418123,2189.956854450039,3.0,4.0,71815.25,-157.96428571428987,"More flights, little TOW increase"
BVH -> VCP,2025,7,2025-07-01,8,E2,1,31580,3947.5,981.3,8325.0,53828.375,54975,430627,4.02383402361923,1707.177006168388,7.0,1.0,54012.333333333336,-183.95833333333576,Relatively stable
BYO -> CNF,2024,10,2024-10-01,1,E1,1,3313,3313.0,731.4,6060.0,36929.0,36929,36929,4.529669127700301,1968.118811881188,1.0,0.0,36929.0,0.0,Relatively stable
BYO -> VCP,2024,7,2024-07-01,21,E1,1,59657,2840.809523809524,553.0904761904761,4808.571428571428,43440.71428571428,45736,912255,5.136955882116184,2126.8886542476885,11.0,10.0,44886.5,-1445.7857142857174,"More flights, little TOW increase"
CAC -> CNF,2024,10,2024-10-01,1,E2,1,3734,3734.0,744.4,7560.0,50135.0,50135,50135,5.016120365394949,1778.095238095238,1.0,0.0,50135.0,0.0,Relatively stable
CAC -> VCP,2024,8,2024-08-01,60,E2,4,113514,1891.9,390.9316666666667,3761.0,48002.9,63017,2880174,4.84079249856013,1834.5735629406274,40.0,20.0,48178.59574468085,-175.69574468085193,"More flights, little TOW increase"
CAU -> REC,2024,10,2024-10-01,8,ATR,1,1932,241.5,78.375,1500.0,16433.25,17127,131466,3.0832998505214344,581.3496516164994,3.0,5.0,16586.666666666668,-153.41666666666788,"More flights, little TOW increase"
CAW -> VCP,2024,2,2024-02-01,34,ATR,1,35856,1054.5882352941176,387.3235294117647,6095.294117647059,19236.470588235294,22237,654040,2.722200868071766,624.4716874749511,24.0,10.0,19543.96551724138,-307.49492900608675,"More flights, little TOW increase"
CFB -> CNF,2025,1,2025-01-01,36,E1,3,63807,1772.4166666666667,253.55277777777778,2895.0,43905.583333333336,59908,1580601,6.996467107096192,2229.955491071596,20.0,16.0,21168.25,22737.333333333336,More flights + heavier departures
CFB -> VCP,2024,12,2024-12-01,1,ATR,1,823,823.0,309.0,5040.0,15978.0,15978,15978,2.663430420711974,587.8571428571429,1.0,0.0,32937.5,-16959.5,Relatively stable
CGB -> CNF,2025,9,2025-09-01,58,E2,3,195089,3363.603448275862,764.8948275862069,6780.0,51654.34482758621,62785,2995952,4.389241249625593,1783.2597383324594,39.0,19.0,57673.46511627907,-6019.120288692859,"More flights, little TOW increase"
CGB -> REC,2025,2,2025-02-01,1,E2,1,4612,4612.0,1354.8,11520.0,44445.0,44445,44445,3.4041925007381164,1441.25,1.0,0.0,48522.0,-4077.0,Relatively stable
CGB -> VCP,2025,9,2025-09-01,122,A320,5,426557,3496.3688524590166,691.2967213114754,6118.524590163935,60476.270491803276,72622,7378105,5.055423082316325,2065.2590065842946,97.0,25.0,60476.270491803276,0.0,"More flights, little TOW increase"
