Route,ActiveMonths,TotalFlights,AvgFlightsPerMonth,StdFlightsPerMonth,CoeffVarFlights,PeakMonth,PeakFlights,TroughMonth,TroughFlights,PeakMinusTrough,PeakToTroughRatio,SeasonalityIndex,AvgMonthlyTOW_kg,PeakMonthAvgTOW_kg,TroughMonthAvgTOW_kg,PeakMonthTotalTOW_kg,TroughMonthTotalTOW_kg,VolatilityScore
VCP -> SDU,23,2665,115.8695652173913,48.18380058631115,0.415845183296494,2024-09-01,194,2025-11-01,27,167,7.185185185185185,0.3651521331266825,43898.56751936676,43080.73195876289,47807.92592592593,8357662,1290814,42.39115302368507
REC -> FEN,23,2796,121.56521739130434,44.66184646093987,0.36739001022947676,2024-10-01,198,2025-11-01,24,174,8.25,0.31090999564595384,30574.508263121104,22261.116161616163,53416.0,4407701,1281984,38.46096626070796
FEN -> REC,23,2814,122.34782608695652,44.91790453091078,0.3671328373173234,2024-10-01,198,2025-11-01,26,172,7.615384615384615,0.31235128704304566,29501.00859323545,21503.257575757576,51819.192307692305,4257645,1347299,38.24340674566274
SDU -> VCP,23,3244,141.04347826086956,48.670568073501606,0.34507492777143556,2025-09-01,201,2025-11-01,45,156,4.466666666666667,0.2992816168980861,43363.09373724808,49322.60199004975,48804.86666666667,9913843,2196219,34.845666824925694
POA -> VCP,19,2762,145.3684210526316,43.76758055951049,0.30108038762878325,2024-11-01,204,2024-05-01,17,187,12.0,0.2052669690155875,63789.99545504787,63429.93137254902,62204.529411764706,12939706,1057477,32.62508866014195
REC -> NAT,23,2045,88.91304347826087,32.37674023320668,0.364139376705992,2024-07-01,156,2025-11-01,24,132,6.5,0.29212288721165086,22192.403371586115,22041.98076923077,21354.416666666668,3438549,512506,31.894595677906864
REC -> MCZ,23,1981,86.1304347826087,32.38397932932685,0.37598764491394115,2024-07-01,144,2025-11-01,20,124,7.2,0.3008142571823628,21226.42223728169,20122.652777777777,21252.95,2897662,425059,31.785767730489937
VCP -> POA,19,2576,135.57894736842104,40.91881022794913,0.3018079946937242,2024-11-01,195,2024-05-01,16,179,12.1875,0.20022883295194513,62507.523990437534,62638.18974358974,61072.4375,12214447,977159,31.715329742134543
NAT -> REC,23,2022,87.91304347826087,32.052827377801684,0.3645969484121853,2024-07-01,154,2025-11-01,25,129,6.16,0.2944566292521395,21701.600506717834,21144.603896103898,22305.68,3256269,557642,31.522879483419672
MCZ -> REC,23,1967,85.52173913043478,31.51379210167509,0.3684886722615796,2024-07-01,140,2025-11-01,20,120,7.0,0.29769456908556396,21022.605559898544,20055.57857142857,20902.7,2807781,418054,30.616627953085526
REC -> POA,17,430,25.294117647058822,17.622728325467033,0.6967125151928827,2025-10-01,51,2025-02-01,1,50,51.0,0.6276333789329686,62565.07598588552,58068.450980392154,59531.0,2961491,59531,29.884690242937243
REC -> JDO,21,397,18.904761904761905,13.067242802792034,0.691214354807639,2024-07-01,55,2025-04-01,3,52,18.333333333333332,0.5695094158570229,28994.05908906139,22526.8,41172.333333333336,1238974,123517,29.83897671988151
VCP -> CWB,23,2432,105.73913043478261,34.548286802430404,0.32673133077956384,2024-09-01,160,2025-11-01,24,136,6.666666666666667,0.29615989702517165,46207.12021078964,44496.775,48650.666666666664,7119484,1167616,29.708526029061037
CGH -> CNF,23,3489,151.69565217391303,42.6425331479067,0.281105836171354,2024-06-01,227,2025-11-01,66,161,3.4393939393939394,0.23998404924794692,47451.97834269068,45014.845814977976,48668.01515151515,10218370,3212089,29.09700187057554
CNF -> VCP,23,2881,125.26086956521739,37.074797945802985,0.29598068474608424,2024-06-01,177,2025-11-01,25,152,7.08,0.23871542187948025,54542.03522145867,55290.141242937854,50934.72,9786355,1273368,29.069565381466596
POA -> REC,17,450,26.470588235294116,17.690534681038844,0.6683090879503564,2025-05-01,52,2024-05-01,2,50,26.0,0.5942483660130718,60788.152356168364,55949.96153846154,70749.5,2909398,141499,28.88070990386883
JDO -> REC,21,390,18.571428571428573,12.556809681911847,0.6761359059490994,2024-07-01,52,2025-04-01,2,50,26.0,0.5443223443223443,27869.826529180165,21761.596153846152,38004.5,1131603,76009,28.53640780140719
MVD -> VCP,10,33,3.3,5.9169248769948055,1.7930075384832744,2025-07-01,21,2024-03-01,1,20,21.0,1.0727272727272728,53865.61904761905,54234.19047619047,51508.0,1138918,51508,28.276380985144748
VCP -> UDI,23,1410,61.30434782608695,26.177379519113686,0.4270068999571736,2025-09-01,108,2024-01-01,25,83,4.32,0.3744064138143695,34860.33143202123,26134.37962962963,36431.44,2822513,910786,28.212070819715787
JPA -> REC,23,1101,47.869565217391305,19.351001205029444,0.4042443485156015,2024-01-01,101,2025-11-01,8,93,12.625,0.29759507167397226,21045.89039618879,20312.19801980198,21309.875,2051532,170479,27.307771140644057
REC -> JPA,23,1093,47.52173913043478,19.311788616907574,0.40637798553419413,2024-01-01,99,2025-11-01,9,90,11.0,0.30231910577190824,20984.798242680743,19450.454545454544,20454.11111111111,1925595,184087,26.977412467268447
GIG -> CNF,23,1741,75.69565217391305,27.462915362846008,0.3628070381076727,2025-06-01,119,2024-03-01,25,94,4.76,0.31011662462852435,44861.21564641197,46457.57142857143,44574.12,5528451,1114353,26.250694757780025
CNF -> SDU,23,1645,71.52173913043478,25.141114023979323,0.3515170957760027,2024-09-01,110,2025-11-01,12,98,9.166666666666666,0.2768864807717722,45325.67910949183,44670.38181818182,51031.25,4913742,612375,25.7720674528748
REC -> AJU,23,1609,69.95652173913044,23.597122633858422,0.3373112620128923,2024-01-01,124,2025-11-01,17,107,7.294117647058823,0.26281514308103876,23128.493945203787,21103.379032258064,22104.58823529412,2616819,375778,25.764030125927892
CNF -> CGH,23,3028,131.65217391304347,36.52111800714065,0.2774061143210816,2024-06-01,193,2025-11-01,59,134,3.2711864406779663,0.2462523691918902,47935.618548049875,45240.04663212435,47076.898305084746,8731329,2777537,25.741003667378383
VCP -> FLN,23,1681,73.08695652173913,23.245220253856136,0.3180488196541887,2024-06-01,146,2025-11-01,29,117,5.0344827586206895,0.24871324004862527,52598.819997767525,61201.32191780822,52925.89655172414,8935393,1534851,25.55308529191696
CNF -> GIG,23,1709,74.30434782608695,25.42069472352876,0.34211584472859075,2025-09-01,121,2024-03-01,21,100,5.761904761904762,0.28279950136108073,45590.751138779895,44377.61157024794,45009.76190476191,5369691,945205,25.46795415092236
VCP -> CNF,23,3141,136.56521739130434,34.44949180789619,0.252256705374598,2024-06-01,188,2025-11-01,32,156,5.875,0.2038951870769486,53291.75132012021,53569.824468085106,50086.625,10071127,1602772,25.371254655413967
AJU -> REC,23,1618,70.34782608695652,23.274559157366536,0.3308497284421696,2024-01-01,123,2025-11-01,20,103,6.15,0.26103079486214864,22399.803072347255,20285.71544715447,21063.5,2495143,421270,24.812367617200152
SDU -> CNF,23,1895,82.3913043478261,27.25043139735874,0.3307440222370717,2025-10-01,126,2024-01-01,32,94,3.9375,0.2660548353791442,43864.90515317854,48858.206349206346,44731.625,6156134,1431412,24.202439822428737
GRU -> CNF,23,1124,48.869565217391305,20.186746292999292,0.41307398998130224,2024-11-01,84,2025-11-01,16,68,5.25,0.36353086801794826,51909.675377750566,55719.42857142857,48553.125,4680432,776850,23.93105872969799
VCP -> QNS,6,341,56.833333333333336,26.238754204844067,0.4616789596160246,2024-08-01,86,2024-05-01,8,78,10.75,0.3841642228739003,57791.366576397035,67134.52325581395,25198.0,5773569,201584,23.79108000436106
VCP -> JTC,23,944,41.04347826086956,16.786325337502664,0.40898885885864544,2024-05-01,82,2025-11-01,10,72,8.2,0.3233235077376566,20621.907852913635,19730.256097560974,20198.8,1617881,201988,23.776253147706562
BPS -> VCP,23,921,40.04347826086956,16.640647617178026,0.415564489896954,2025-07-01,84,2025-11-01,14,70,6.0,0.3138365670584903,61113.788584761685,60408.119047619046,62874.92857142857,5074282,880249,23.73495548408599
UDI -> VCP,23,1560,67.82608695652173,25.05585442984992,0.36941323838881296,2025-09-01,108,2025-11-01,33,75,3.272727272727273,0.3191192865105909,36408.82444964401,26856.833333333332,27097.484848484848,2900538,894217,23.52407151561996
CWB -> VCP,23,3589,156.04347826086956,34.01211837856256,0.21796565135328475,2024-08-01,223,2025-11-01,51,172,4.372549019607843,0.16242867699613556,48667.5592596781,47489.793721973096,51392.8431372549,10590224,2621035,23.40017551938379
VCP -> BPS,23,889,38.65217391304348,16.60437002628387,0.4295843763830473,2025-07-01,79,2024-04-01,15,64,5.266666666666667,0.3317846138797867,63189.61117185633,63642.45569620253,53794.666666666664,5027754,806920,23.339221095555157
JTC -> VCP,23,955,41.52173913043478,16.441912417110945,0.3959832309880123,2024-05-01,83,2025-11-01,10,73,8.3,0.3115866150694287,20484.216934297274,19189.289156626506,20150.4,1592711,201504,23.218646749461158
CNF -> GRU,23,1368,59.47826086956522,20.821956565997706,0.35007675513007835,2024-10-01,99,2025-11-01,16,83,6.1875,0.2920162725654717,53059.81489661052,58916.656565656565,48428.0625,5832749,774849,23.03296949331771
MCZ -> VCP,23,1066,46.34782608695652,17.47945053273346,0.37713636233852676,2025-01-01,88,2025-11-01,12,76,7.333333333333333,0.28493351823150337,67366.49165534035,69268.47727272728,67523.66666666667,6095626,810284,22.924524951008546
VCP -> LDB,23,1338,58.17391304347826,19.98619561404504,0.3435594163849297,2024-06-01,104,2025-11-01,20,84,5.2,0.27269773185156304,28293.382403981344,21194.615384615383,42867.3,2204240,857346,22.670160433957847
VCP -> PPB,23,1148,49.91304347826087,19.214833589382835,0.3849661781844993,2024-04-01,91,2025-02-01,22,69,4.136363636363637,0.32366308135131044,32527.30472610015,20544.395604395606,44120.77272727273,1869540,970657,22.533551925199685
LDB -> VCP,23,1343,58.391304347826086,19.907916560427353,0.34093974749801126,2024-06-01,105,2025-11-01,21,84,5.0,0.2717472239308491,29050.540412443836,21720.02857142857,44678.619047619046,2280603,938251,22.508945135780397
FLN -> VCP,23,2344,101.91304347826087,26.853731087987303,0.26349650811591635,2024-06-01,155,2025-11-01,35,120,4.428571428571429,0.19557797892862444,52043.43768174563,61921.09032258065,50753.25714285715,9597769,1776364,22.39904412441679
RAO -> CNF,19,659,34.68421052631579,16.41902821529417,0.4733862459644753,2025-07-01,53,2024-03-01,1,52,53.0,0.36450762718632695,24048.11017396682,20103.905660377357,15985.0,1065507,15985,22.162148593533036
PPB -> VCP,23,1134,49.30434782608695,18.933372382966024,0.38401019824357896,2024-05-01,88,2025-11-01,21,67,4.190476190476191,0.3214477417375968,31542.328739748402,20480.875,20396.52380952381,1802317,428327,22.11090275249891
GIG -> VCP,23,1494,64.95652173913044,19.625799924698864,0.3021374821071445,2025-08-01,111,2025-11-01,17,94,6.529411764705882,0.23898492520807868,47556.62623243298,43714.10810810811,47365.05882352941,4852266,805206,21.413066626655247
QNS -> VCP,6,348,58.0,24.365275838099322,0.4200909627258504,2024-09-01,85,2024-05-01,11,74,7.7272727272727275,0.3390804597701149,55685.80714501185,65789.02352941176,20262.0,5592067,222882,21.158819458239442
VCP -> MCZ,23,1006,43.73913043478261,15.77068659778627,0.36056241724561056,2025-01-01,84,2025-11-01,12,72,7.0,0.26657446624600223,65469.3165499986,65224.57142857143,67312.66666666667,5478864,807752,21.155436363638163
CNF -> CFB,15,251,16.733333333333334,10.926827332558869,0.6529976493561076,2025-01-01,36,2025-03-01,2,34,18.0,0.5928286852589641,24629.472329934524,43298.694444444445,20947.0,1558753,41894,21.053842475877502
CFB -> CNF,15,253,16.866666666666667,10.91095270308184,0.6468944290364727,2025-01-01,36,2025-03-01,2,34,18.0,0.5865612648221346,24233.662334386412,43905.583333333336,20503.0,1580601,41006,20.886881871768715
CNF -> CPV,21,154,7.333333333333333,6.431568966051703,0.8770321317343232,2024-05-01,23,2025-04-01,1,22,23.0,0.6536796536796534,57781.135374149664,66476.0,53634.0,1528948,53634,20.74686219232169
VCP -> JOI,23,1483,64.47826086956522,20.412846690721597,0.31658494530451564,2024-10-01,96,2025-11-01,16,80,6.0,0.26468087601512796,28680.506513425902,21676.833333333332,43560.1875,2080976,696963,20.67790831186709
CWB -> CNF,23,1179,51.26086956521739,18.233312540522583,0.35569651266498675,2025-10-01,83,2024-01-01,18,65,4.611111111111111,0.29664048382933217,52162.46689638827,51401.409638554214,52838.27777777778,4266317,951089,20.28413556873263
VCP -> GIG,23,1599,69.52173913043478,19.394910953352397,0.27897620508261733,2025-08-01,115,2025-11-01,22,93,5.2272727272727275,0.22481442205726399,47857.68543610606,43596.1652173913,48663.045454545456,5013559,1070587,19.848746983020824
JOI -> VCP,23,1488,64.69565217391305,19.95960002781422,0.3085153230105692,2024-04-01,95,2025-11-01,18,77,5.277777777777778,0.2602851799906498,27943.804672184087,21788.8,42229.88888888889,2069936,760138,19.778504443173084
