Route,Year,Month,MonthStart,Flights,PrimaryAircraft,DistinctAircraft,AvgTOW_kg,MedianTOW_kg,AvgPassengers,TotalPassengerProxy,AvgPayloadKg,TotalPayloadKg,ExactLoadJoinShare,FuelBurnKg,AvgFuelBurnKg,AvgDistanceNM,AvgFuelPerNM,FuelPerFlightKg,FuelPerPassengerProxy,FuelPerPassengerNMProxy,TowRegime,TowRegimeRank,MedianMonthlyFlights,AvgMonthlyFlights,MedianRouteTOW_kg,MedianRoutePassengers,MedianRoutePayloadKg,MedianTowRegimeRank,MedianFuelPerNM,MedianFuelPerPassengerProxy,MedianFuelPerPassengerNMProxy,FlightsPctVsMedian,TowPctVsMedian,PassengerPctVsMedian,PayloadPctVsMedian,RegimeShiftVsMedian,FuelPerNMPctVsMedian,FuelPerPassengerPctVsMedian,FuelPerPassengerNMPctVsMedian
AAX -> CNF,2024,6,2024-06-01,6,ATR,2,21235.0,19922.5,37.5,225.0,3113.5,18681.0,0.0,3752,625.3333333333334,186.35,3.3455377548408465,625.3333333333334,16.675555555555555,0.0894851384789673,ATR,0,7.0,7.611111111111111,19356.63333333333,40.0,3245.0,0.0,2.784653520422964,14.22375,0.06996431218238283,-0.14285714285714285,0.0970399466849436,-0.0625,-0.04052388289676425,0.0,0.20141975664271844,0.17237406138012504,0.2790111942456837
AAX -> CNF,2024,7,2024-07-01,12,ATR,1,18933.083333333332,18886.0,39.791666666666664,477.5,3234.0416666666665,38808.5,0.9166666666666666,6515,542.9166666666666,198.08333333333334,2.747585695382615,542.9166666666666,13.643979057591624,0.0688799952423641,ATR,0,7.0,7.611111111111111,19356.63333333333,40.0,3245.0,0.0,2.784653520422964,14.22375,0.06996431218238283,0.7142857142857143,-0.021881387775766755,-0.005208333333333393,-0.003376990241397068,0.0,-0.013311467573430328,-0.04076076579020139,-0.015498143356174733
AAX -> CNF,2024,8,2024-08-01,10,ATR,1,19652.5,19972.5,40.0,400.0,3245.0,32450.0,1.0,5587,558.7,197.0,2.844982880679318,558.7,13.9675,0.0709010152284264,ATR,0,7.0,7.611111111111111,19356.63333333333,40.0,3245.0,0.0,2.784653520422964,14.22375,0.06996431218238283,0.42857142857142855,0.015285027182757434,0.0,0.0,0.0,0.02166494316578044,-0.018015642850865727,0.013388297788189115
AAX -> CNF,2024,9,2024-09-01,8,ATR,1,19021.25,19050.5,40.0,320.0,3245.0,25960.0,1.0,4536,567.0,205.625,2.759020581737244,567.0,14.175,0.06893617021276596,ATR,0,7.0,7.611111111111111,19356.63333333333,40.0,3245.0,0.0,2.784653520422964,14.22375,0.06996431218238283,0.14285714285714285,-0.017326532334307348,0.0,0.0,0.0,-0.009205072910408719,-0.003427366200896393,-0.014695234435189055
AAX -> CNF,2024,10,2024-10-01,10,ATR,1,19352.6,19419.5,40.0,400.0,3245.0,32450.0,1.0,5709,570.9,205.2,2.788806427822498,570.9,14.2725,0.06955409356725147,ATR,0,7.0,7.611111111111111,19356.63333333333,40.0,3245.0,0.0,2.784653520422964,14.22375,0.06996431218238283,0.42857142857142855,-0.00020836956839943838,0.0,0.0,0.0,0.0014913551610913956,0.003427366200896393,-0.005863255170178895
AAX -> CNF,2024,11,2024-11-01,6,ATR,1,19378.0,19149.5,40.0,240.0,3245.0,19470.0,1.0,3535,589.1666666666666,210.83333333333334,2.817316536347228,589.1666666666666,14.729166666666666,0.06986166007905138,ATR,0,7.0,7.611111111111111,19356.63333333333,40.0,3245.0,0.0,2.784653520422964,14.22375,0.06996431218238283,-0.14285714285714285,0.0011038420937526296,0.0,0.0,0.0,0.011729651708806774,0.03553329232211374,-0.0014672066390627261
AAX -> CNF,2024,12,2024-12-01,12,ATR,1,19697.916666666668,19877.0,40.0,480.0,3245.0,38940.0,1.0,7108,592.3333333333334,213.16666666666666,2.7805006130234293,592.3333333333334,14.808333333333334,0.06946833463643472,ATR,0,7.0,7.611111111111111,19356.63333333333,40.0,3245.0,0.0,2.784653520422964,14.22375,0.06996431218238283,0.7142857142857143,0.017631337405437406,0.0,0.0,0.0,-0.0014913551610915552,0.04109910068254383,-0.0070890076737294494
AAX -> CNF,2025,1,2025-01-01,9,ATR,1,20524.11111111111,20866.0,40.0,360.0,3245.0,29205.0,1.0,5302,589.1111111111111,206.33333333333334,2.860780546563655,589.1111111111111,14.727777777777778,0.0713785675821217,ATR,0,7.0,7.611111111111111,19356.63333333333,40.0,3245.0,0.0,2.784653520422964,14.22375,0.06996431218238283,0.2857142857142857,0.060314092728476106,0.0,0.0,0.0,0.02733806040226074,0.03543564656140449,0.020213954166406894
AAX -> CNF,2025,2,2025-02-01,11,ATR,1,19215.454545454544,19285.0,40.0,440.0,3245.0,35695.0,1.0,6128,557.0909090909091,191.0909090909091,2.916958534887529,557.0909090909091,13.927272727272728,0.07288296860133206,ATR,0,7.0,7.611111111111111,19356.63333333333,40.0,3245.0,0.0,2.784653520422964,14.22375,0.06996431218238283,0.5714285714285714,-0.007293561098544372,0.0,0.0,0.0,0.047512199810218855,-0.020843819156500437,0.041716359782697214
AAX -> CNF,2025,3,2025-03-01,4,ATR,1,19641.0,19654.5,40.0,160.0,3245.0,12980.0,1.0,2140,535.0,199.0,2.6920659688327833,535.0,13.375,0.06721105527638191,ATR,0,7.0,7.611111111111111,19356.63333333333,40.0,3245.0,0.0,2.784653520422964,14.22375,0.06996431218238283,-0.42857142857142855,0.01469091560343665,0.0,0.0,0.0,-0.03324921786898551,-0.05967132436945255,-0.03935230434087222
