Route,Recommendation,Months,TotalFlights,AvgPriorityScore,MaxPriorityScore,AvgPassengers,AvgTOW_kg,E2FuelAdvantage,AvgFuelPerNM,EstimatedFuelSavedKg
VCP -> MAO,Maintain current aircraft assignment,23,1723,9.837547815672206,19.854568751163033,153.8149902477161,73177.43542120907,0.09595577548234684,5.461676587507312,482709.7625848554
MAO -> VCP,Maintain current aircraft assignment,23,1863,11.056443446902609,27.254037736079237,154.13390349461758,69669.17581151394,0.09059759863162369,5.267345933615453,436104.38694508
BSB -> VCP,Maintain current aircraft assignment,23,2461,16.04953905360915,22.64614622109608,108.79233849705841,52347.95563563392,0.21539873331456433,4.96678110962686,378132.3632667584
VCP -> BSB,Maintain current aircraft assignment,23,1866,13.934667829706889,22.07141426252788,109.37016944275182,53803.200303962876,0.19309062143107256,5.266251269148179,356653.4966133045
CGR -> VCP,Maintain current aircraft assignment,23,1738,14.013687903931759,25.710835830652147,124.27521052539056,53473.15161822913,0.18801050332358898,5.0822559381466315,229393.83105590512
BEL -> VCP,Maintain current aircraft assignment,23,1640,6.997391923092076,12.78655188486237,155.4888943536765,71211.0243340551,0.08875563429636088,5.3251968205315485,226645.38594972898
FOR -> VCP,Maintain current aircraft assignment,23,1129,14.819273283835699,26.011579241517076,167.88662274532476,73015.15141962281,0.18852632069195127,5.587457006103423,223183.6603757404
FLN -> VCP,Maintain current aircraft assignment,23,2344,14.996173800547838,29.718848236245705,114.61135651248942,52043.43768174563,0.18109288146645341,5.7014886048852125,216842.93826122003
VCP -> FLN,Maintain current aircraft assignment,23,1681,17.65638856147314,52.51485631925812,119.92216211555346,52598.81999776753,0.1971076204371807,5.882051741642891,205090.1602028674
JOI -> VCP,Maintain current aircraft assignment,23,1488,24.688090019691575,48.78949849893461,65.61584209250529,27943.804672184087,0.2110580637492818,4.080586664579482,196185.82949463773
VCP -> FOR,Maintain current aircraft assignment,23,1132,17.30676960295483,27.79821763648072,168.27740689166959,72274.67861018903,0.2389446529157043,5.232963103922277,193366.37588191626
VCP -> CGR,Maintain current aircraft assignment,23,1385,14.858559372882823,30.763267107839155,123.28875595157903,56459.22648538628,0.1918156362279673,5.804577401514979,182356.47022834964
VCP -> BEL,Maintain current aircraft assignment,23,1832,6.006555664118906,13.986766024480362,136.2072825153279,68061.45606937946,0.04772235059378955,5.082606529176225,175818.76184177792
VCP -> JOI,Maintain current aircraft assignment,23,1483,11.948649906854019,39.2854839075283,68.32637338483133,28680.506513425902,,4.214672930553924,163965.2132099065
CNF -> VDC,Maintain current aircraft assignment,22,420,22.443768241109503,35.635142101488256,79.71606528000265,38183.810751143676,0.2050301461359154,4.684948035723672,152558.1786212798
GYN -> CNF,Maintain current aircraft assignment,23,1943,13.567046651251061,21.95858244166395,110.21542820566081,50261.1139824302,0.17712907805188785,5.210725547517221,151150.35006931907
VCP -> CNF,Maintain current aircraft assignment,23,3141,14.694221017582896,23.1610175768164,116.23559981944915,53291.751320120224,0.1909925245654627,5.758857600867721,147635.62126188894
CNF -> GYN,Maintain current aircraft assignment,23,1063,18.639282509509815,41.22029061941742,107.84264829302862,50970.86188703229,0.20973211638422967,5.432324405691335,137824.98896276977
NVT -> VCP,Maintain current aircraft assignment,23,2161,14.35448450733357,23.278155284251557,111.81900716757295,49686.94423318895,0.179426766156869,6.088956649082045,134418.674013182
VCP -> MGF,Maintain current aircraft assignment,23,1504,25.773422030917196,42.01073942063985,73.54833486522601,31753.39722364828,0.21029401469202874,4.496315517674229,122341.84802584346
UDI -> VCP,Maintain current aircraft assignment,22,1527,19.986440967785118,33.009561166671524,76.97141126319822,36832.0671587876,0.17894723156573755,4.863714806674797,120581.52255590852
CNF -> GRU,Maintain current aircraft assignment,23,1368,18.551714966143415,39.45765620628074,112.73870829049011,53059.81489661052,0.2008852083095963,6.134113620892997,117836.89451565295
BSB -> CNF,Maintain current aircraft assignment,23,1644,15.349942510263476,26.894540757833923,110.90700273701306,49756.39062692637,0.20334202862424444,5.07358173152764,113635.49300474316
VCP -> NVT,Maintain current aircraft assignment,23,1507,18.82608455284004,36.56910685739703,112.21097533827188,49216.105277722985,0.2006318135020336,6.257256698612167,108970.96818880126
CNF -> BSB,Maintain current aircraft assignment,23,984,16.9995389194122,33.91632711226402,108.8118792066794,50640.84306495781,0.1953534193507418,5.399470225555265,108921.35914137388
SSA -> REC,Maintain current aircraft assignment,23,1929,16.38827824070108,23.258541703685534,100.86924551070044,47050.06238861666,0.2047933529199446,5.21382114859998,106293.66388839428
REC -> SSA,Maintain current aircraft assignment,23,2245,14.293358643861563,25.355839506966575,99.71742369616393,49490.81480254082,0.15729802472655388,5.535101515919444,105359.54621431384
VCP -> UDI,Maintain current aircraft assignment,21,1354,26.230186135287795,45.16549102684892,78.60702375964608,35225.87967900327,0.23082835921941178,4.981321381633489,96975.96000745452
VCP -> AJU,Maintain current aircraft assignment,23,474,17.68705769453788,38.48522722447555,130.7332721594636,59084.89649274529,0.2247537870745925,4.614536888665526,94681.80886111729
