Route,MonthsObserved,RegimesObserved,FirstRegime,LastRegime,MinAvgTOW,MaxAvgTOW,DeltaTOW
REC -> REC,20,5,Outside Normal Regimes,ATR,19203.5,77271.0,58067.5
VCP -> VDC,2,2,Outside Normal Regimes,A320,18113.0,69394.0,51281.0
BPS -> REC,3,2,A320,A320,16812.0,66908.0,50096.0
LDB -> REC,3,2,Outside Normal Regimes,A320,18517.0,66649.33333333333,48132.33333333333
QNS -> VCP,6,3,ATR,A320,20262.0,67001.5,46739.5
CNF -> CNF,17,5,Outside Normal Regimes,Outside Normal Regimes,18140.0,63128.0,44988.0
VCP -> QNS,6,3,Outside Normal Regimes,A320,25198.0,68387.85507246378,43189.855072463775
RAO -> CNF,19,2,Outside Normal Regimes,Outside Normal Regimes,15985.0,57467.5,41482.5
VCP -> VCP,23,3,Outside Normal Regimes,ATR,18732.25,57437.0,38704.75
JJD -> REC,2,2,Outside Normal Regimes,E2,16131.0,54797.0,38666.0
CFB -> VCP,2,2,Outside Normal Regimes,E2,15978.0,49897.0,33919.0
REC -> FEN,23,3,ATR,E2,21716.236842105263,54750.71428571428,33034.47744360902
CNF -> IOS,23,3,E2,Outside Normal Regimes,25753.666666666668,58064.0,32310.333333333332
FEN -> REC,23,3,ATR,E2,20779.092024539877,52422.4375,31643.345475460123
VCP -> PMG,23,3,Outside Normal Regimes,E1,24026.285714285714,54263.333333333336,30237.047619047622
REC -> PNZ,23,4,E1,E2,22139.836734693876,51747.37254901961,29607.535814325733
CNF -> VDC,23,4,Outside Normal Regimes,Outside Normal Regimes,22129.384615384617,51507.53846153846,29378.153846153844
PNZ -> REC,23,4,Outside Normal Regimes,Outside Normal Regimes,21292.847826086956,49755.43243243243,28462.584606345477
PLU -> VCP,21,3,Outside Normal Regimes,Outside Normal Regimes,16121.0,44266.0,28145.0
VDC -> CNF,23,4,E2,Outside Normal Regimes,21924.333333333332,49897.9375,27973.604166666668
IGU -> CNF,23,4,Outside Normal Regimes,E2,41982.5,69206.0,27223.5
LDB -> VCP,23,3,Outside Normal Regimes,E1,21618.547368421052,48634.01960784314,27015.472239422088
PMG -> VCP,23,3,Outside Normal Regimes,E1,23635.85714285714,50635.0,26999.14285714286
VCP -> GRU,20,3,Outside Normal Regimes,Outside Normal Regimes,27360.5,53821.6,26461.1
VCP -> JOI,23,3,ATR,E1,21207.072289156626,47585.4375,26378.365210843374
CNF -> IGU,21,4,Outside Normal Regimes,Outside Normal Regimes,44048.0,70341.0,26293.0
MVD -> VCP,10,4,E2,E2,42733.0,68959.0,26226.0
CNF -> JTC,3,2,Outside Normal Regimes,Outside Normal Regimes,16037.0,42026.0,25989.0
MGF -> CNF,2,2,E1,Outside Normal Regimes,16870.0,42572.0,25702.0
UDI -> VCP,23,3,Outside Normal Regimes,Outside Normal Regimes,21645.990291262136,47343.72222222222,25697.731930960083
VCP -> LDB,23,3,Outside Normal Regimes,E1,21125.908163265307,46765.80392156863,25639.895758303323
JOI -> VCP,23,3,ATR,E1,20613.488372093023,46004.25806451613,25390.769692423106
VCP -> UBA,16,3,E1,ATR,19355.5,44289.0,24933.5
REC -> JDO,21,3,E1,Outside Normal Regimes,20966.833333333332,45857.69565217391,24890.86231884058
JDO -> REC,21,3,E1,Outside Normal Regimes,19376.4,44185.045454545456,24808.645454545454
VCP -> PVH,2,2,E1,A320,45028.0,69807.0,24779.0
VCP -> PPB,23,3,ATR,ATR,20450.850746268658,44848.958333333336,24398.10758706468
CFB -> CNF,15,3,Outside Normal Regimes,ATR,19537.14814814815,43905.583333333336,24368.435185185186
VCP -> UDI,23,3,Outside Normal Regimes,Outside Normal Regimes,21222.73267326733,44927.59375,23704.86107673267
PPB -> VCP,23,3,ATR,ATR,19963.6,43574.59090909091,23610.990909090913
CNF -> CFB,15,3,Outside Normal Regimes,ATR,19864.0,43298.694444444445,23434.694444444445
CNF -> UNA,23,4,E1,Outside Normal Regimes,42482.0,65600.33333333333,23118.33333333333
JJG -> VCP,15,3,ATR,Outside Normal Regimes,20638.695652173912,42516.416666666664,21877.721014492752
MGF -> VCP,23,3,Outside Normal Regimes,Outside Normal Regimes,21440.87341772152,43318.40540540541,21877.531987683888
VCP -> MGF,23,3,Outside Normal Regimes,Outside Normal Regimes,21994.73076923077,43817.431818181816,21822.701048951047
VCP -> PMW,23,3,Outside Normal Regimes,A320,49482.333333333336,71210.5,21728.166666666664
VCP -> JJG,15,3,ATR,Outside Normal Regimes,21771.47619047619,43171.38461538462,21399.908424908426
GRU -> VCP,21,3,E1,E1,38310.0,59118.0,20808.0
UNA -> CNF,23,3,E1,Outside Normal Regimes,40892.0,60512.0,19620.0
CNF -> PLU,21,2,Outside Normal Regimes,Outside Normal Regimes,15162.0,34750.0,19588.0
REC -> MVD,23,3,A321,Outside Normal Regimes,55663.666666666664,74989.66666666667,19326.000000000007
PLU -> CNF,21,2,Outside Normal Regimes,Outside Normal Regimes,15896.0,35184.0,19288.0
PMW -> VCP,23,3,A320,A320,47082.52173913043,66335.93333333333,19253.411594202902
VCP -> ROO,23,3,E2,Outside Normal Regimes,35575.666666666664,54688.142857142855,19112.47619047619
CNF -> CGB,23,3,Outside Normal Regimes,E2,48012.5,66810.17948717948,18797.679487179485
CNF -> CPV,21,3,A320,E2,47885.0,66476.0,18591.0
CNF -> THE,23,3,E2,A320,52057.0,70398.7,18341.699999999997
CNF -> PMW,23,3,E2,A320,47674.6,65989.0,18314.4
VCP -> PNZ,23,3,E2,E2,49507.666666666664,67819.48148148147,18311.81481481481
CNF -> RAO,18,2,ATR,Outside Normal Regimes,20900.0,39198.5,18298.5
NVT -> CNF,8,2,Outside Normal Regimes,Outside Normal Regimes,38334.0,56382.125,18048.125
CNF -> BPS,23,3,A320,Outside Normal Regimes,47263.5,65199.4126984127,17935.9126984127
CNF -> JPA,23,3,A320,A320,52348.75,70190.33333333333,17841.58333333333
SSA -> REC,23,3,E1,E2,37082.84507042253,54872.86666666667,17790.021596244136
REC -> THE,23,3,E2,E2,50490.555555555555,67926.27777777778,17435.722222222226
VCP -> UNA,4,3,E1,Outside Normal Regimes,44005.0,61310.0,17305.0
REC -> POA,17,3,Outside Normal Regimes,Outside Normal Regimes,56959.72222222222,74244.5,17284.77777777778
VCP -> XAP,23,3,Outside Normal Regimes,E2,48010.392857142855,65285.69387755102,17275.301020408166
THE -> REC,23,3,E2,Outside Normal Regimes,46327.71428571428,63585.52173913043,17257.80745341615
